,Date,Open,High,Low,Close,Volume,U001,FTG01P,FTG02P,FRG01P,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,close_ema5_ratio,close_ema10_ratio,close_ema20_ratio,close_ema60_ratio,close_ema120_ratio,close_lastclose_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,volume_lastvolume_ratio,open_close_ratio,RSI,MACD,MACD_Signal,MACD_Hist,Bollinger_High,Bollinger_Low,ATR,MFI,Stoch_Osc,Stoch_Signal,ROC,Williams_%R,CCI,OBV,Hist_Volatility,ADI,CMF,Keltner_High,Keltner_Low,Vortex_Pos,Vortex_Neg,Parabolic_SAR,ADX,DMP,DMN,EoM,Chaikin_Oscillator,Stoch_RSIk,Stoch_RSId,TSI,TSIs,BoP
0,2018-01-10,76700,76700,72500,72900,9123901,2499.75,1220.37,1246.75,1087.75,,,,,,,,,,,,,,,,0.0,0.0,0.05212620027434842,-0.0054869684499314125,0.0,0.05212620027434842,,,,,,,,,,,,,,9123901.0,,-7386015.095238095,,,,,,,,,,,,,,,,-0.9047619047619048
1,2018-01-11,73200,73800,72000,72600,3777867,2487.91,1221.39,1251.11,1087.54,,,,,,,,,,,,,,,,-0.00411522633744856,0.00411522633744856,0.01652892561983471,-0.008264462809917356,-0.5859373090523451,0.008264462809917356,,,,,,,,,,,,,,5346034.0,,-8645304.095238095,,,,,,72000.0,,,,,,,,,,-0.3333333333333333
2,2018-01-12,73300,74500,72000,74400,5659087,2496.42,1220.83,1248.51,1078.82,,,,,,,,,,,,,,,,0.024793388429752067,0.009641873278236915,0.0013440860215053765,-0.03225806451612903,0.49795823939805184,-0.01478494623655914,,,,,,,,,,,,,,11005121.0,,-3438944.055238096,,,,,,74500.0,,,,,,,,,,0.44
3,2018-01-15,73700,74100,72500,72700,3541267,2503.73,1218.45,1243.64,1078.61,,,,,,,,,,,,,,,,-0.0228494623655914,-0.009408602150537635,0.01925722145804677,-0.002751031636863824,-0.37423351151873085,0.013755158184319119,,,,,,,,,,,,,,7463854.0,,-6094894.305238096,,,,,,74500.0,,,,,,,,,,-0.625
4,2018-01-16,72700,74700,72700,74400,4383229,2521.74,1219.13,1246.96,1078.11,0.013623978201634877,,,,,-0.17251823470264754,,,,,0.013623978201634877,,,,,0.023383768913342505,0.0,0.004032258064516129,-0.0228494623655914,0.23775727726827714,-0.0228494623655914,,,,,,,,,,,,,,11847083.0,,-3026634.0052380958,,,,,,72000.0,,,,,,,,,,0.85
5,2018-01-17,74400,75000,73700,74100,3256624,2515.43,1219.58,1247.37,1085.42,0.0062466051059206955,,,,,-0.21025019116722538,,,,,0.006337709370755866,,,,,-0.004032258064516129,0.0,0.012145748987854251,-0.005398110661268556,-0.25702626990285016,0.004048582995951417,,,,,,,,,,,,,,8590459.0,,-4279181.697545788,,,,,,72054.0,,,,,,,,,,-0.23076923076923078
6,2018-01-18,75800,76800,74600,75200,6199800,2515.81,1221.28,1249.65,1087.04,0.014023732470334413,,,,,0.3454422995618012,,,,,0.014084507042253433,,,,,0.014844804318488529,0.022941970310391364,0.02127659574468085,-0.007978723404255319,0.9037506325569056,0.007978723404255319,,,,,,,,,,,,,,14790259.0,,-7097272.606636697,,,,,,72171.84,,,,,,,,,,-0.2727272727272727
7,2018-01-19,75300,75800,73000,73300,3898397,2520.26,1221.05,1247.06,1081.66,-0.008655666756829862,,,,,-0.08399386126913762,,,,,-0.0077212333918276485,,,,,-0.02526595744680851,0.0013297872340425532,0.034106412005457026,-0.004092769440654843,-0.3712060066453757,0.027285129604365622,,,,,,,,,,,,,,10891862.0,,-10160298.820922412,,,,,,72449.5296,,,,,,,,,,-0.7142857142857143
8,2018-01-22,72800,72800,70700,71100,5610463,2502.11,1220.15,1246.44,1086.43,-0.034229828850855744,,,,,0.20146045274917518,,,,,-0.025318597999560117,,,,,-0.030013642564802184,-0.0068212824010914054,0.02390998593530239,-0.005625879043600563,0.43917179291898695,0.02390998593530239,,,,,,,,,,,,,,5281399.0,,-13633442.582827173,,,,,,76800.0,,,,,,,,,,-0.8095238095238095
9,2018-01-23,71800,72200,70900,71300,4671451,2536.6,1220.71,1247.27,1086.94,-0.023287671232876714,-0.025956284153005466,,,,-0.011823968073424692,-0.06798551840001225,,,,-0.015165381095568213,-0.025956284153005466,,,,0.0028129395218002813,0.009845288326300985,0.012622720897615708,-0.005610098176718092,-0.1673680051004703,0.0070126227208976155,,,,,,,,,,,,,,9952850.0,,-15430154.505904097,,,,,,76678.0,,,,,-5197176.36886181,,,,,-0.38461538461538464
