,Date,Open,High,Low,Close,Volume,U001,FTG01P,FTG02P,FRG01P,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,close_ema5_ratio,close_ema10_ratio,close_ema20_ratio,close_ema60_ratio,close_ema120_ratio,close_lastclose_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,volume_lastvolume_ratio,open_close_ratio,RSI,MACD,MACD_Signal,MACD_Hist,Bollinger_High,Bollinger_Low,ATR,MFI,Stoch_Osc,Stoch_Signal,ROC,Williams_%R,CCI,OBV,Hist_Volatility,ADI,CMF,Keltner_High,Keltner_Low,Vortex_Pos,Vortex_Neg,Parabolic_SAR,ADX,DMP,DMN,EoM,Chaikin_Oscillator,Stoch_RSIk,Stoch_RSId,TSI,TSIs,BoP
10,2018-01-24,48860,49700,48560,49340,9550500,2538.0,1220.37,1247.48,1086.54,0.003008619287689055,0.005789302022178734,,,,-0.19976237119362392,-0.37824633632117527,,,,0.004199625019919719,0.005569410116835493,,,,0.003661513425549227,-0.006102522375915379,0.007296311309282529,-0.01580867450344548,-0.2942650025493804,-0.009728415079043373,,,,,,,,,,,,,,1796350.0,,4707163.5857084915,,,,,,47458.218685562875,,,,,6105340.7040900085,,,,,0.42105263157894735
11,2018-01-25,49220,50360,49160,50260,11160350,2562.23,1219.81,1245.71,1075.46,0.02021760311789542,0.02034187340127492,,,,-0.003262515986596266,-0.20079073404639278,,,,0.015166812140025248,0.019810085848065487,,,,0.018646128901499796,-0.0024321037697608433,0.0019896538002387586,-0.021886191802626343,0.16856185540024082,-0.020692399522483088,,,,,,,,,,,,,,12956700.0,,14007455.252375158,,,,,,47585.48993814036,,,,,9315639.159720615,,,,,0.8666666666666667
12,2018-01-26,50500,50780,49840,50780,10350100,2574.76,1219.47,1243.84,1080.64,0.02469933005085156,0.025527102350755313,,,,-0.09391739933169393,-0.15662262812591543,,,,0.01696809721930306,0.024704643181685998,,,,0.010346199761241544,0.00477516912057302,0.0,-0.018511224891689642,-0.07260076968912266,-0.005513981882630957,,,,,,,,,,,3.972153972153972,,,23306800.0,,24357555.252375156,,,,,,47707.67034061474,,,,,13075280.422503987,,,,,0.2978723404255319
13,2018-01-29,51200,51480,50900,51220,11838800,2598.19,1216.75,1236.68,1082.88,0.021295262402297017,0.02884460870962558,,,,0.04893549721835575,-0.04882382455769641,,,,0.0170402024999421,0.02731067475289204,,,,0.00866482867270579,0.008270972823946435,0.005076142131979695,-0.006247559547051933,0.143834359088318,-0.0003904724716907458,,,,,,,,55.05475597850749,,,6.177446102819237,-5.508474576271183,,35145600.0,,25582258.70065102,,,,,,47892.01012017786,,,,,13814331.997866418,,,,,0.034482758620689655
14,2018-01-30,50440,50640,49780,49800,12284550,2567.74,1216.18,1232.12,1090.4,-0.00954653937947494,0.0007234145165179648,,,,0.11304755156810904,0.05573877565051489,,,,-0.0074649308664731535,-0.0009574923462377623,,,,-0.027723545490042953,-0.015228426395939087,0.016867469879518072,-0.00040160642570281126,0.037651620096631415,0.01285140562248996,53.717533329091,,,,,,1159.564004101197,51.60225343084793,,,3.319502074688797,-35.59322033898306,,22861050.0,,13869083.119255671,,,,1.0420673076923077,0.90625,48179.049310563634,,32.344650987392555,28.917337654085213,773133.248731074,9133903.412082855,,,,,-0.7441860465116279
15,2018-01-31,50020,54140,49600,49900,64681300,2566.46,1217.09,1235.75,1084.5,-0.009763454516589935,0.002169023136246787,,,,1.9316612141039622,2.805050944772572,,,,-0.003654591545205388,0.0008577959057289857,,,,0.002008032128514056,0.004417670682730923,0.08496993987975952,-0.006012024048096192,4.265255951581458,0.002404809619238477,54.500081094815165,,,,,,1519.4283003547246,70.35446004759041,67.14857685300016,,2.8018129377832715,-57.45257452574526,,87542350.0,,-42264027.453431554,,,,1.057171514543631,0.683049147442327,48443.125365718544,,46.57822472372382,19.719198178358685,1936777.2305883009,-11471707.410872981,,,,,-0.02643171806167401
16,2018-02-01,50620,50960,49720,49820,27609450,2568.54,1218.22,1237.31,1088.97,-0.00962150127226463,0.0007231238952273823,,,,0.08900817423215703,0.5107885915405097,,,,-0.003507432869988333,-0.0006110894804318195,,,,-0.0016032064128256513,0.014428857715430862,0.02288237655560016,-0.002007226013649137,-0.5731463344119553,0.016057808109193095,53.717579086207316,,,,,,1490.6884174094528,69.87786320854148,45.83360964316131,,-0.36,-69.45337620578778,,59932900.0,,-65420340.356657356,,,,1.129496402877698,0.7985611510791367,49012.81282914669,,42.593187835822185,18.03210656834767,1905475.580778593,-26226310.7248474,,,,,-0.6451612903225806
17,2018-02-02,49380,49400,47700,47700,29260350,2525.39,1218.79,1237.62,1097.2,-0.04000966028014812,-0.038732820120108015,,,,0.004306177232864102,0.4428963109438875,,,,-0.031083273169279838,-0.03557397220037397,,,,-0.0425531914893617,-0.008831794460056202,0.03563941299790356,0.0,0.059794744190847696,0.03522012578616352,38.10433226369492,,,,,,1553.4426687621828,61.08942479756955,24.364683089488988,45.78228986188349,-3.8694074969770256,-100.0,,30672550.0,,-94680690.35665736,,,,0.9785575048732943,0.8888888888888888,54140.0,,36.79678974922781,28.544985810139075,540184.0658073676,-39188186.10557808,,,,,-0.9882352941176471
18,2018-02-05,46500,48320,46000,47920,28357900,2491.75,1217.65,1231.91,1106.65,-0.022599330994533737,-0.03367614438394838,,,,-0.12580062524064614,0.2970964112228189,,,,-0.017901798891087922,-0.025611576115674734,,,,0.004612159329140462,-0.025157232704402517,0.008347245409015025,-0.04006677796327212,-0.03084207810227834,-0.02963272120200334,40.05160097671264,,,,,,1627.7798900428004,51.91464400152143,18.044615793811936,29.414302842154076,-3.967935871743487,-76.41277641277642,,59030450.0,,-76101376.5635539,,,,0.8700564971751412,1.0018832391713748,54011.2,,31.71093539387191,34.727446926726365,-767295.6668534867,-35016609.2721097,,,,,0.6120689655172413
19,2018-02-06,46600,47920,46580,47420,19406450,2453.31,1218.9,1236.79,1108.58,-0.023315208436315703,-0.04039177594301441,-0.036394302086931785,,,-0.42691437786687514,-0.1355691932841796,0.002601506140572259,,,-0.018943794896676004,-0.029464910624789495,-0.036394302086931785,,,-0.010434056761268781,-0.027545909849749584,0.010544074230282582,-0.017714044706874738,-0.3156598337676626,-0.017292281737663433,37.18807370589372,,,,51247.64331683287,47174.35668316713,1600.5675043119365,50.50263177550333,13.677313677313677,18.695537520204866,-3.8523925385239255,-82.55528255528255,-141.13811783882238,39624000.0,8.277187282651736,-71177351.93668823,-0.18386289160258887,52179.42105263158,49211.0,0.8788159111933395,1.0148011100832564,53690.752,,29.20051744173915,31.978224769960878,-822168.4387317396,-28559991.888769045,,,,,0.6119402985074627
